target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,41.395547400,41.395698200,41.395703200,41.396025000,150.800,5.000,0.321800,1,9,same_process,12564
6568,5992,41.396025000,41.396250600,41.396255100,41.396897100,225.600,4.500,0.642000,1,9,same_process,12564
6568,5992,41.396897100,41.397082800,41.397086700,41.397405000,185.700,3.900,0.318300,1,14,same_process,12564
6568,5992,41.397405000,41.397462700,41.397466600,41.397711300,57.700,3.900,0.244700,1,2,same_process,12564
6568,5992,41.397711300,41.398051100,41.398055000,41.398490400,339.800,3.900,0.435400,1,2,same_process,12564
6568,5992,41.398490400,41.398597700,41.398601400,41.398793800,107.300,3.700,0.192400,1,2,same_process,12564
6568,5992,41.398793800,41.398939200,41.398942900,41.399121700,145.400,3.700,0.178800,1,2,same_process,12564
6568,5992,41.399121700,41.399381800,41.399385400,41.399602300,260.100,3.600,0.216900,1,2,same_process,12564
6568,5992,41.399602300,41.399857700,41.399861200,41.400159100,255.400,3.500,0.297900,1,10,same_process,12564
6568,5992,41.400159100,41.400254200,41.400257700,41.400441700,95.100,3.500,0.184000,1,10,same_process,12564
6568,5992,41.400441700,41.400870700,41.400874600,41.401273300,429.000,3.900,0.398700,1,10,same_process,12564
6568,5992,41.401273300,41.401399800,41.401403700,41.401678400,126.500,3.900,0.274700,1,10,same_process,12564
6568,5992,41.401678400,41.401834400,41.401837700,41.402065200,156.000,3.300,0.227500,1,10,same_process,12564
6568,5992,41.402065200,41.402138000,41.402141400,41.402335200,72.800,3.400,0.193800,1,10,same_process,12564
6568,5992,41.402335200,41.402660700,41.402665000,41.403063600,325.500,4.300,0.398600,1,2,same_process,12564
6568,5992,41.403063600,41.403124900,41.403129000,41.403396900,61.300,4.100,0.267900,1,2,same_process,12564
6568,5992,41.403396900,41.403570600,41.403574200,41.403772800,173.700,3.600,0.198600,1,10,same_process,12564
6568,5992,41.403772800,41.403952200,41.403955800,41.404177400,179.400,3.600,0.221600,1,10,same_process,12564
6568,5992,41.404177400,41.404426400,41.404430300,41.404636900,249.000,3.900,0.206600,1,10,same_process,12564
6568,5992,41.404636900,41.404806900,41.404810400,41.404990600,170.000,3.500,0.180200,1,10,same_process,12564
6568,5992,41.404990600,41.405179400,41.405182800,41.405385500,188.800,3.400,0.202700,1,10,same_process,12564
6568,5992,41.405385500,41.405600000,41.405603400,41.405792500,214.500,3.400,0.189100,1,10,same_process,12564
6568,5992,41.405792500,41.406259700,41.406263300,41.406551300,467.200,3.600,0.288000,1,10,same_process,12564
6568,5992,41.406551300,41.406850300,41.406853800,41.407163200,299.000,3.500,0.309400,1,10,same_process,12564
6568,5992,41.407163200,41.408284200,41.408288000,41.408556800,"1,121.000",3.800,0.268800,1,10,same_process,12564
6568,5992,41.408556800,41.408581300,41.408584800,41.408594300,24.500,3.500,0.009500,1,10,same_process,12564
6568,5992,41.408594300,41.408596700,41.408599400,41.408607700,2.400,2.700,0.008300,1,10,same_process,12564
6568,5992,41.408607700,41.408667700,41.408670700,41.408711000,60.000,3.000,0.040300,1,10,same_process,12564
6568,5992,41.408711000,41.408972400,41.408976300,41.409309400,261.400,3.900,0.333100,1,10,same_process,12564
6568,5992,41.409309400,41.419781100,41.419784600,41.420100100,"10,471.700",3.500,0.315500,1,10,same_process,12560
