target_pid,target_tid,timestamp_s,weight_ms,count,leaf_class,leaf_module,xemu_rva
6568,5992,21.921252000,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.932731600,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.935127600,1.000000,1,xemu_image,xemu.exe,0x001d8281
6568,5992,21.943984800,1.000000,1,external_module,KernelBase.dll,
6568,5992,21.952135400,1.000000,1,xemu_image,xemu.exe,0x002aaef6
6568,5992,21.954316700,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.959907300,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.975460600,1.000000,1,xemu_image,xemu.exe,0x006fd481
6568,5992,21.992508500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.994986900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.997398000,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.999733300,1.000000,1,xemu_image,xemu.exe,0x0011e647
6568,5992,22.018313100,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,22.020822600,1.000000,1,xemu_image,xemu.exe,0x00298794
6568,5992,22.039173800,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.041423700,1.000000,1,xemu_image,xemu.exe,0x0028d315
6568,5992,22.043453300,1.000000,1,xemu_image,xemu.exe,0x002ab8c6
6568,5992,22.046400700,1.000000,1,xemu_image,xemu.exe,0x0029dccd
6568,5992,22.050203000,1.000000,1,external_module,ntdll.dll,
6568,5992,22.061384600,1.000000,1,external_module,ntdll.dll,
6568,5992,22.078308800,1.000000,1,xemu_image,xemu.exe,0x0011eb65
6568,5992,22.081633600,1.000000,1,xemu_image,xemu.exe,0x0011e681
6568,5992,22.083575700,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.085964300,1.000000,1,xemu_image,xemu.exe,0x002b3e78
6568,5992,22.088269200,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.090729300,1.000000,1,external_module,nvoglv64.dll,
6568,5992,22.103833000,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.115490300,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.118558500,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.136898900,1.000000,1,xemu_image,xemu.exe,0x001dc38a
6568,5992,22.145895900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,22.150233600,1.000000,1,xemu_image,xemu.exe,0x002754f8
6568,5992,22.164029000,1.000000,1,external_module,nvoglv64.dll,
6568,5992,22.177913700,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,22.181912700,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.183863800,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.186313900,1.000000,1,external_module,ntdll.dll,
6568,5992,22.188643900,1.000000,1,xemu_image,xemu.exe,0x001d4551
6568,5992,22.191069200,1.000000,1,xemu_image,xemu.exe,0x0029de20
6568,5992,22.194015400,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,22.211296400,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,22.224044800,1.000000,1,xemu_image,xemu.exe,0x002ab4f4
6568,5992,22.226375700,1.000000,1,xemu_image,xemu.exe,0x002ab8c6
6568,5992,22.228554200,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.231212400,1.000000,1,external_module,vulkan-1.dll,
6568,5992,22.233367900,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.236207900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,22.247740600,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,22.269073300,1.000000,1,xemu_image,xemu.exe,0x001d43a0
6568,5992,22.271198300,1.000000,1,external_module,msvcrt.dll,
