renderer,id,kind,outcome,iterations,average_us,median_us,p95_us,framebuffer_fnv1a64
vulkan,report_query.dma_descriptor_rewrite,leaf,PASS,1,,,,c0c0fdbececda325
vulkan,report_query.dma_range_guard,leaf,FAIL,1,,,,3f648ce11a4da325
vulkan,report_query.dma_target_switch,leaf,PASS,4,,,,4c4bd8cd440da325
vulkan,report_query.fifo_producer_ordering,leaf,PASS,4,,,,0d907c24a88da325
vulkan,report_query.multiple_boundaries,leaf,PASS,4,,,,0c966fc9ba4da325
vulkan,report_query.single_boundary,leaf,PASS,4,,,,60e674c9fecda325
vulkan,report_query.zero_query,leaf,PASS,4,,,,23875dfeb40da325
vulkan,surface.basic,leaf,PASS,10,,,,5a719d88d8221fb2
vulkan,surface.cpu_read_after_gpu_write,leaf,PASS,20,,,,76ea18af98322325
vulkan,surface.cpu_read_clean_surface,leaf,PASS,100,,,,d3267b427820a325
vulkan,surface.framebuffer_working_set_002,leaf,PASS,20,,,,9f3b0609a42777d5
vulkan,surface.framebuffer_working_set_008,leaf,PASS,20,,,,64cbf95dec8f59e5
vulkan,surface.framebuffer_working_set_032,leaf,PASS,20,,,,a6116feb11a28c25
vulkan,surface.framebuffer_working_set_064,leaf,PASS,20,,,,a6116feb11a28c25
vulkan,surface.full_clear_elision_guard,leaf,PASS,100,,,,4f05ccd43f43d495
vulkan,surface.overlapping_surface_churn_representative,leaf,PASS,100,,,,caf66d4bf5691525
vulkan,surface.overlapping_surface_churn_stress,leaf,PASS,10,,,,caf66d4bf5691525
vulkan,surface.partial_channel_clear_guard,leaf,PASS,100,,,,eb2cb498aa73af25
vulkan,surface.surface_download_path,leaf,PASS,10,,,,2b0e8aac0f8838e8
vulkan,surface.surface_list_lookup_002,leaf,PASS,20,,,,dce4c9394e7a3f35
vulkan,surface.surface_list_lookup_008,leaf,PASS,20,,,,bf1fe5b8fe78a94d
vulkan,surface.surface_list_lookup_032,leaf,PASS,20,,,,c6275b91195a5325
vulkan,surface.surface_list_lookup_128,leaf,PASS,20,,,,c6275b91195a5325
vulkan,surface.vulkan_memory_pressure.representative.growth,leaf,PASS,4,,,,c1b304b452852b25
vulkan,surface.vulkan_memory_pressure.representative.plateau,leaf,PASS,4,,,,730005d86af45b25
vulkan,surface.vulkan_memory_pressure.representative.alias_resize,leaf,PASS,4,,,,0c26236493b4d325
vulkan,surface.vulkan_memory_pressure.representative.reuse,leaf,PASS,4,,,,3ba0d18066aacb25
vulkan,surface.vulkan_memory_pressure.representative.idle_retention,leaf,PASS,4,,,,3a8651789ea0fa25
vulkan,surface.vulkan_memory_pressure.representative,group,PASS,0,,,,7e188dabb186cb25
vulkan,surface.vulkan_memory_pressure.stress.growth,leaf,PASS,4,,,,94cdb4bddb0e4b25
vulkan,surface.vulkan_memory_pressure.stress.plateau,leaf,PASS,4,,,,196f33989be28325
